time,T_in,valve,T_set
2019-02-21T20:13:04Z,19.81,0,19
2019-02-21T20:18:04Z,19.81,0,19
2019-02-21T20:23:04Z,19.81,0,19
2019-02-21T20:28:04Z,19.81,0,19
2019-02-21T20:33:04Z,19.81,0,19
2019-02-21T20:38:04Z,19.81,0,19
2019-02-21T20:43:04Z,19.28,0,19
2019-02-21T20:48:04Z,19.28,0,19
2019-02-21T20:53:04Z,19.28,0,19
2019-02-21T20:58:04Z,19.28,0,19
2019-02-21T21:03:04Z,19.28,0,19
2019-02-21T21:08:04Z,19.28,0,19
2019-02-21T21:13:04Z,19.28,0,19
2019-02-21T21:18:04Z,19.28,0,19
2019-02-21T21:23:04Z,19.28,0,19
2019-02-21T21:28:04Z,19.28,0,19
2019-02-21T21:33:04Z,19.28,0,19
2019-02-21T21:38:04Z,19.28,0,19
2019-02-21T21:43:04Z,19.28,0,19
2019-02-21T21:48:04Z,19.28,0,19
2019-02-21T21:53:04Z,19.28,0,19
2019-02-21T21:58:04Z,19.28,0,19
2019-02-21T22:03:04Z,19.28,0,19
2019-02-21T22:08:04Z,19.28,5,19
2019-02-21T22:13:04Z,19.28,5,19
2019-02-21T22:18:04Z,19.28,5,19
2019-02-21T22:23:04Z,19.28,5,19
2019-02-21T22:28:04Z,19.28,5,19
2019-02-21T22:33:04Z,18.75,5,19
2019-02-21T22:38:04Z,18.75,5,19
2019-02-21T22:43:04Z,18.75,5,19
2019-02-21T22:48:04Z,18.75,5,19
2019-02-21T22:53:04Z,18.75,5,19
2019-02-21T22:58:04Z,18.75,5,19
2019-02-21T23:03:04Z,18.75,10,19
2019-02-21T23:08:04Z,18.75,10,19
2019-02-21T23:13:04Z,18.75,10,19
2019-02-21T23:18:04Z,18.75,10,19
2019-02-21T23:23:04Z,18.75,10,19
2019-02-21T23:28:04Z,18.75,10,19
2019-02-21T23:33:04Z,18.75,10,19
2019-02-21T23:38:04Z,18.75,10,19
2019-02-21T23:43:04Z,18.75,10,19
2019-02-21T23:48:04Z,18.75,10,19
2019-02-21T23:53:04Z,18.75,10,19
2019-02-21T23:58:04Z,18.75,10,19
2019-02-22T00:03:04Z,18.75,10,19
2019-02-22T00:08:04Z,18.75,10,19
2019-02-22T00:13:04Z,18.75,10,19
2019-02-22T00:18:04Z,18.75,15,19
2019-02-22T00:23:04Z,18.75,15,19
2019-02-22T00:28:04Z,18.75,15,19
2019-02-22T00:33:04Z,18.75,15,19
2019-02-22T00:38:04Z,18.75,15,19
2019-02-22T00:43:04Z,18.75,15,19
2019-02-22T00:48:04Z,18.75,15,19
2019-02-22T00:53:04Z,18.75,20,19
2019-02-22T00:58:04Z,18.75,20,19
2019-02-22T01:03:04Z,18.75,20,19
2019-02-22T01:08:04Z,18.75,20,19
2019-02-22T01:13:04Z,18.75,20,19
2019-02-22T01:18:04Z,18.22,26,19
2019-02-22T01:23:04Z,18.22,26,19
2019-02-22T01:28:04Z,18.22,26,19
2019-02-22T01:33:04Z,18.22,26,19
2019-02-22T01:38:04Z,18.22,26,19
2019-02-22T01:43:04Z,18.22,31,19
2019-02-22T01:48:04Z,18.22,31,19
2019-02-22T01:53:04Z,18.22,31,19
2019-02-22T01:58:04Z,18.22,31,19
2019-02-22T02:03:04Z,18.22,37,19
2019-02-22T02:08:04Z,18.22,37,19
2019-02-22T02:13:04Z,18.22,37,19
2019-02-22T02:18:04Z,18.22,37,19
2019-02-22T02:23:04Z,18.22,37,19
2019-02-22T02:28:04Z,17.7,42,19
2019-02-22T02:33:04Z,17.7,42,19
2019-02-22T02:38:04Z,17.7,47,19
2019-02-22T02:43:04Z,17.7,47,19
2019-02-22T02:48:04Z,17.7,47,19
2019-02-22T02:53:04Z,17.7,47,19
2019-02-22T02:58:04Z,17.7,52,19
2019-02-22T03:03:04Z,17.7,52,19
2019-02-22T03:08:04Z,17.7,52,19
2019-02-22T03:13:04Z,17.7,56,19
2019-02-22T03:18:04Z,17.7,56,19
2019-02-22T03:23:04Z,17.7,56,19
2019-02-22T03:28:04Z,17.7,56,19
2019-02-22T03:33:04Z,17.7,61,19
2019-02-22T03:38:04Z,17.7,61,19
2019-02-22T03:43:04Z,17.7,61,19
2019-02-22T03:48:04Z,17.7,66,19
2019-02-22T03:53:04Z,17.7,66,19
2019-02-22T03:58:04Z,17.17,66,19
2019-02-22T04:03:04Z,17.17,66,19
2019-02-22T04:08:04Z,17.17,62,19
2019-02-22T04:13:04Z,17.7,55,19
2019-02-22T04:18:04Z,18.22,49,19
2019-02-22T04:23:04Z,18.84,31,19
2019-02-22T04:28:04Z,19.46,24,19
2019-02-22T04:33:04Z,19.99,10,19
2019-02-22T04:38:04Z,20.52,2,19
2019-02-22T04:43:04Z,20.52,2,19
2019-02-22T04:48:04Z,20.52,2,19
2019-02-22T04:53:04Z,21.05,2,19
2019-02-22T04:58:04Z,21.05,2,19
2019-02-22T05:03:04Z,21.05,2,19
2019-02-22T05:08:04Z,21.05,2,19
2019-02-22T05:13:04Z,21.05,2,19
2019-02-22T05:18:04Z,21.05,2,19
2019-02-22T05:23:04Z,21.05,2,19
2019-02-22T05:28:04Z,21.05,2,19
2019-02-22T05:33:04Z,20.52,74,23
2019-02-22T05:38:04Z,20.52,74,23
2019-02-22T05:43:04Z,20.52,69,23
2019-02-22T05:48:04Z,21.05,62,23
2019-02-22T05:53:04Z,21.58,56,23
2019-02-22T05:58:04Z,21.58,51,23
2019-02-22T06:03:04Z,22.11,43,23
2019-02-22T06:08:04Z,22.11,43,23
2019-02-22T06:13:04Z,22.64,33,23
2019-02-22T06:18:04Z,22.64,27,23
2019-02-22T06:23:04Z,23.18,27,23
2019-02-22T06:28:04Z,23.18,22,23
2019-02-22T06:33:04Z,23.18,16,23
2019-02-22T06:38:04Z,23.72,13,23
2019-02-22T06:43:04Z,23.72,13,23
2019-02-22T06:48:04Z,23.72,13,23
2019-02-22T06:53:04Z,23.72,13,23
2019-02-22T06:58:04Z,23.72,9,23
2019-02-22T07:03:04Z,23.72,9,23
2019-02-22T07:08:04Z,23.72,15,23
2019-02-22T07:13:04Z,23.72,11,23
2019-02-22T07:18:04Z,23.72,18,23
2019-02-22T07:23:04Z,23.72,18,23
2019-02-22T07:28:04Z,23.18,23,23
2019-02-22T07:33:04Z,23.18,23,23
2019-02-22T07:38:04Z,23.18,18,23
2019-02-22T07:43:04Z,23.36,0,20.5
2019-02-22T07:48:04Z,23.36,0,20.5
2019-02-22T07:53:04Z,23.36,0,20.5
2019-02-22T07:58:04Z,23.36,0,20.5
2019-02-22T08:03:04Z,23.36,0,20.5
2019-02-22T08:08:04Z,22.64,0,20.5
2019-02-22T08:13:04Z,22.64,0,20.5
2019-02-22T08:18:04Z,22.64,0,20.5
2019-02-22T08:23:04Z,22.11,0,20.5
2019-02-22T08:28:04Z,22.11,0,20.5
2019-02-22T08:33:04Z,22.11,0,20.5
2019-02-22T08:38:04Z,21.58,0,20.5
2019-02-22T08:43:04Z,21.58,0,20.5
2019-02-22T08:48:04Z,21.58,0,20.5
2019-02-22T08:53:04Z,21.58,0,20.5
2019-02-22T08:58:04Z,21.58,0,20.5
2019-02-22T09:03:04Z,21.58,0,20.5
2019-02-22T09:08:04Z,21.58,0,20.5
2019-02-22T09:13:04Z,21.58,0,20.5
2019-02-22T09:18:04Z,21.58,0,20.5
2019-02-22T09:23:04Z,21.58,0,20.5
2019-02-22T09:28:04Z,21.58,0,20.5
2019-02-22T09:33:04Z,21.58,0,20.5
2019-02-22T09:38:04Z,21.58,0,20.5
2019-02-22T09:43:04Z,21.58,0,20.5
2019-02-22T09:48:04Z,21.58,0,20.5
2019-02-22T09:53:04Z,21.58,0,20.5
2019-02-22T09:58:04Z,21.58,0,20.5
2019-02-22T10:03:04Z,21.58,0,20.5
2019-02-22T10:08:04Z,21.58,0,20.5
2019-02-22T10:13:04Z,21.58,0,20.5
2019-02-22T10:18:04Z,21.58,0,20.5
2019-02-22T10:23:04Z,21.58,0,20.5
2019-02-22T10:28:04Z,21.58,0,20.5
2019-02-22T10:33:04Z,21.58,0,20.5
2019-02-22T10:38:04Z,21.58,0,20.5
2019-02-22T10:43:04Z,21.58,0,20.5
2019-02-22T10:48:04Z,21.58,0,20.5
2019-02-22T10:53:04Z,21.58,0,20.5
2019-02-22T10:58:04Z,21.58,0,20.5
2019-02-22T11:03:04Z,21.58,0,20.5
2019-02-22T11:08:04Z,21.58,0,20.5
2019-02-22T11:13:04Z,21.58,0,20.5
2019-02-22T11:18:04Z,21.58,0,20.5
2019-02-22T11:23:04Z,21.58,0,20.5
2019-02-22T11:28:04Z,21.05,0,20.5
2019-02-22T11:33:04Z,21.05,0,20.5
2019-02-22T11:38:04Z,21.05,0,20.5
2019-02-22T11:43:04Z,21.05,0,20.5
2019-02-22T11:48:04Z,21.05,0,20.5
2019-02-22T11:53:04Z,21.05,0,20.5
2019-02-22T11:58:04Z,21.05,0,20.5
2019-02-22T12:03:04Z,20.52,0,20.5
2019-02-22T12:08:04Z,20.52,0,20.5
2019-02-22T12:13:04Z,20.52,5,20.5
2019-02-22T12:18:04Z,20.52,5,20.5
2019-02-22T12:23:04Z,20.52,10,20.5
2019-02-22T12:28:04Z,19.99,10,20.5
2019-02-22T12:33:04Z,19.99,10,20.5
2019-02-22T12:38:04Z,19.99,17,20.5
2019-02-22T12:43:04Z,19.99,17,20.5
2019-02-22T12:48:04Z,19.99,17,20.5
2019-02-22T12:53:04Z,19.99,22,20.5
2019-02-22T12:58:04Z,19.99,22,20.5
2019-02-22T13:03:04Z,19.99,22,20.5
2019-02-22T13:08:04Z,19.99,22,20.5
2019-02-22T13:13:04Z,19.99,22,20.5
2019-02-22T13:18:04Z,19.99,22,20.5
2019-02-22T13:23:04Z,19.99,22,20.5
2019-02-22T13:28:04Z,19.99,22,20.5
2019-02-22T13:33:04Z,19.99,22,20.5
2019-02-22T13:38:04Z,19.99,22,20.5
2019-02-22T13:43:04Z,19.99,22,20.5
2019-02-22T13:48:04Z,19.99,22,20.5
2019-02-22T13:53:04Z,19.99,22,20.5
2019-02-22T13:58:04Z,19.99,22,20.5
2019-02-22T14:03:04Z,19.99,22,20.5
2019-02-22T14:08:04Z,19.99,22,20.5
2019-02-22T14:13:04Z,19.99,22,20.5
2019-02-22T14:18:04Z,19.99,22,20.5
2019-02-22T14:23:04Z,19.99,22,20.5
2019-02-22T14:28:04Z,19.99,22,20.5
2019-02-22T14:33:04Z,19.99,22,20.5
2019-02-22T14:38:04Z,19.99,22,20.5
2019-02-22T14:43:04Z,19.46,49,20.5
2019-02-22T14:48:04Z,19.46,49,20.5
2019-02-22T14:53:04Z,19.46,49,20.5
2019-02-22T14:58:04Z,19.46,45,20.5
2019-02-22T15:03:04Z,19.46,45,20.5
2019-02-22T15:08:04Z,19.46,45,20.5
2019-02-22T15:13:04Z,19.46,45,20.5
2019-02-22T15:18:04Z,19.46,45,20.5
2019-02-22T15:23:04Z,19.46,51,20.5
2019-02-22T15:28:04Z,19.46,51,20.5
2019-02-22T15:33:04Z,19.46,51,20.5
2019-02-22T15:38:04Z,19.46,51,20.5
2019-02-22T15:43:04Z,19.46,51,20.5
2019-02-22T15:48:04Z,19.46,51,20.5
2019-02-22T15:53:04Z,19.46,51,20.5
2019-02-22T15:58:04Z,19.46,51,20.5
2019-02-22T16:03:04Z,19.46,51,20.5
2019-02-22T16:08:04Z,19.46,51,20.5
2019-02-22T16:13:04Z,18.93,68,20.5
2019-02-22T16:18:04Z,18.93,68,20.5
